X_mass (GeV)        x_sec (pb)
0.002           4.58e+09
0.0024           3.73e+09
0.0028           3.12e+09
0.0033           2.52e+09
0.004           1.94e+09
0.0047           1.56e+09
0.0056           1.22e+09
0.0066           9.57e+08
0.0079           7.25e+08
0.0094           5.47e+08
0.0111           4.15e+08
0.0132           3.05e+08
0.0157           2.23e+08
0.0186           1.58e+08
0.0221           1.13e+08
0.0262           7.78e+07
0.0312           5.16e+07
0.037           3.35e+07
0.0439           2.13e+07
0.0521           1.34e+07
0.0619           8.26e+06
0.0735           5.03e+06
0.0872           3.02e+06
0.1036           1.75e+06
0.123           9.86e+05
0.146           5.31e+05
0.1733           2.66e+05
0.2057           1.18e+05
0.2443           3.80e+04
0.29           1.55e+03
