mass,coupling,number of events
0.002,1e-06,0.0
0.002,1.3738237958832638e-06,0.0
0.002,1.8873918221350957e-06,6.153924607141504e-05
0.002,2.592943797404667e-06,0.0009291893582043865
0.002,3.562247890262444e-06,0.001972962445376161
0.002,4.893900918477499e-06,0.009102507785024217
0.002,6.723357536499335e-06,0.0288936342687228
0.002,9.236708571873865e-06,0.09727616745989975
0.002,1.2689610031679234e-05,0.3727600690246901
0.002,1.7433288221999873e-05,1.2600793538430672
0.002,2.395026619987486e-05,4.389877984101315
0.002,3.290344562312671e-05,13.559659955617857
0.002,4.520353656360241e-05,39.67703149482813
0.002,6.210169418915616e-05,107.73205641724687
0.002,8.531678524172815e-05,254.88879702445152
0.002,0.00011721022975334806,544.4430790560425
0.002,0.00016102620275609394,987.7106365029116
0.002,0.0002212216291070448,1500.6574312468554
0.002,0.0003039195382313198,1967.4710528853118
0.002,0.00041753189365604,1891.3285896318323
0.002,0.0005736152510448681,1426.734405053184
0.002,0.0007880462815669912,772.4386178838389
0.002,0.001082636733874054,101.24266183995096
0.002,0.0014873521072935117,38.216914401582535
0.002,0.0020433597178569417,0.0
0.002,0.0028072162039411755,0.0
0.002,0.0038566204211634724,0.0
0.002,0.005298316906283708,0.0
0.002,0.007278953843983146,0.0
0.002,0.01,0.0
0.0023,1e-06,0.0
0.0023,1.3738237958832638e-06,2.7853943310747256e-05
0.0023,1.8873918221350957e-06,0.0
0.0023,2.592943797404667e-06,0.0008930038571477903
0.0023,3.562247890262444e-06,0.0020599922164749158
0.0023,4.893900918477499e-06,0.007776024926073427
0.0023,6.723357536499335e-06,0.03402257720743957
0.0023,9.236708571873865e-06,0.13346425495811443
0.0023,1.2689610031679234e-05,0.3897310595308401
0.0023,1.7433288221999873e-05,1.3993869936112946
0.0023,2.395026619987486e-05,4.351193800706759
0.0023,3.290344562312671e-05,13.75658159559886
0.0023,4.520353656360241e-05,40.770509389894464
0.0023,6.210169418915616e-05,108.53809829505074
0.0023,8.531678524172815e-05,253.40870224730972
