mass,coupling,number of events
0.002,1e-06,0.0
0.002,1.3738237958832638e-06,0.0
0.002,1.8873918221350957e-06,0.0
0.002,2.592943797404667e-06,0.0
0.002,3.562247890262444e-06,0.0
0.002,4.893900918477499e-06,0.016444407850807755
0.002,6.723357536499335e-06,0.0
0.002,9.236708571873865e-06,0.0
0.002,1.2689610031679234e-05,0.0
0.002,1.7433288221999873e-05,0.208673122828634
0.002,2.395026619987486e-05,0.7876958910523141
0.002,3.290344562312671e-05,0.7433453915507789
0.002,4.520353656360241e-05,0.0
0.002,6.210169418915616e-05,5.295961105576134
0.002,8.531678524172815e-05,34.98443788353485
0.002,0.00011721022975334806,132.05868392675382
0.002,0.00016102620275609394,338.26308011573525
0.002,0.0002212216291070448,772.842333486071
0.002,0.0003039195382313198,1648.9158174155157
0.002,0.00041753189365604,2513.6598004909333
0.002,0.0005736152510448681,2711.006257757905
0.002,0.0007880462815669912,1705.5770135497798
0.002,0.001082636733874054,0.0
0.002,0.0014873521072935117,0.0
0.002,0.0020433597178569417,0.0
0.002,0.0028072162039411755,0.0
0.002,0.0038566204211634724,0.0
0.002,0.005298316906283708,0.0
0.002,0.007278953843983146,0.0
0.002,0.01,0.0
0.0024,1e-06,0.0
0.0024,1.3738237958832638e-06,0.0
0.0024,1.8873918221350957e-06,0.0
0.0024,2.592943797404667e-06,0.0
0.0024,3.562247890262444e-06,0.0
0.0024,4.893900918477499e-06,0.0
0.0024,6.723357536499335e-06,0.0
0.0024,9.236708571873865e-06,0.0
0.0024,1.2689610031679234e-05,0.0
0.0024,1.7433288221999873e-05,0.0
0.0024,2.395026619987486e-05,0.0
0.0024,3.290344562312671e-05,1.2115712878586256
0.0024,4.520353656360241e-05,9.146838962552204
0.0024,6.210169418915616e-05,17.263669056307723
0.0024,8.531678524172815e-05,61.09370211922871
0.0024,0.00011721022975334806,176.80522243781107
0.0024,0.00016102620275609394,551.3316424224455
0.0024,0.0002212216291070448,1204.8807542228185
0.0024,0.0003039195382313198,2325.765765853758
