mass,coupling,number of events
0.002,1e-06,0.0
0.002,1.3738237958832638e-06,0.0
0.002,1.8873918221350957e-06,0.0
0.002,2.592943797404667e-06,0.0
0.002,3.562247890262444e-06,0.0
0.002,4.893900918477499e-06,0.0
0.002,6.723357536499335e-06,0.0007759260224367166
0.002,9.236708571873865e-06,0.0014644764293288745
0.002,1.2689610031679234e-05,0.008292122509274788
0.002,1.7433288221999873e-05,0.015650484212147552
0.002,2.395026619987486e-05,0.0393847945526157
0.002,3.290344562312671e-05,0.16725271309892525
0.002,4.520353656360241e-05,0.38582060358455583
0.002,6.210169418915616e-05,1.7211873593122433
0.002,8.531678524172815e-05,5.997332208605975
0.002,0.00011721022975334806,20.044621667453708
0.002,0.00016102620275609394,58.75095602010137
0.002,0.0002212216291070448,148.68814459460276
0.002,0.0003039195382313198,351.9801071790813
0.002,0.00041753189365604,496.74705581130354
0.002,0.0005736152510448681,542.2012515515811
0.002,0.0007880462815669912,383.7548280487004
0.002,0.001082636733874054,100.59662835610793
0.002,0.0014873521072935117,0.0
0.002,0.0020433597178569417,0.0
0.002,0.0028072162039411755,0.0
0.002,0.0038566204211634724,0.0
0.002,0.005298316906283708,0.0
0.002,0.007278953843983146,0.0
0.002,0.01,0.0
0.0024,1e-06,0.0
0.0024,1.3738237958832638e-06,0.0
0.0024,1.8873918221350957e-06,0.0
0.0024,2.592943797404667e-06,0.0
0.0024,3.562247890262444e-06,0.0
0.0024,4.893900918477499e-06,0.0
0.0024,6.723357536499335e-06,0.0
0.0024,9.236708571873865e-06,0.0023869356206257983
0.0024,1.2689610031679234e-05,0.006757624155498152
0.0024,1.7433288221999873e-05,0.03401142551506604
0.0024,2.395026619987486e-05,0.18455454833184154
0.0024,3.290344562312671e-05,0.575496361732847
0.0024,4.520353656360241e-05,1.657864561962587
0.0024,6.210169418915616e-05,4.693560024683661
0.0024,8.531678524172815e-05,17.717173614576325
0.0024,0.00011721022975334806,57.07733811307597
0.0024,0.00016102620275609394,161.40959268288697
