mass,coupling,number of events
0.002,1e-06,0.0
0.002,1.3738237958832638e-06,0.0
0.002,1.8873918221350957e-06,0.0
0.002,2.592943797404667e-06,0.0
0.002,3.562247890262444e-06,0.0
0.002,4.893900918477499e-06,0.0
0.002,6.723357536499335e-06,0.0
0.002,9.236708571873865e-06,0.0
0.002,1.2689610031679234e-05,0.11056163345699718
0.002,1.7433288221999873e-05,0.417346245657268
0.002,2.395026619987486e-05,0.0
0.002,3.290344562312671e-05,0.0
0.002,4.520353656360241e-05,2.805968026069497
0.002,6.210169418915616e-05,5.295961105576134
0.002,8.531678524172815e-05,44.97999156454481
0.002,0.00011721022975334806,160.35697333962966
0.002,0.00016102620275609394,445.0830001522832
0.002,0.0002212216291070448,1310.4717828676855
0.002,0.0003039195382313198,2473.3737261232736
0.002,0.00041753189365604,3710.6406578675683
0.002,0.0005736152510448681,3840.5921984903657
0.002,0.0007880462815669912,2131.9712669372248
0.002,0.001082636733874054,804.7730268488634
0.002,0.0014873521072935117,0.0
0.002,0.0020433597178569417,0.0
0.002,0.0028072162039411755,0.0
0.002,0.0038566204211634724,0.0
0.002,0.005298316906283708,0.0
0.002,0.007278953843983146,0.0
0.002,0.01,0.0
0.0024,1e-06,0.0
0.0024,1.3738237958832638e-06,0.0
0.0024,1.8873918221350957e-06,0.0
0.0024,2.592943797404667e-06,0.0
0.0024,3.562247890262444e-06,0.0
0.0024,4.893900918477499e-06,0.0
0.0024,6.723357536499335e-06,0.0
0.0024,9.236708571873865e-06,0.0
0.0024,1.2689610031679234e-05,0.0
0.0024,1.7433288221999873e-05,0.17005712757533026
0.0024,2.395026619987486e-05,0.3209644318814636
0.0024,3.290344562312671e-05,1.2115712878586256
0.0024,4.520353656360241e-05,4.573419481276102
0.0024,6.210169418915616e-05,23.737544952423118
0.0024,8.531678524172815e-05,73.31244254307447
0.0024,0.00011721022975334806,261.3642418645903
0.0024,0.00016102620275609394,681.910189311972
0.0024,0.0002212216291070448,1506.1009427785232
