Mass,Coupling,Number of Events
0.01,1e-08,2.978576528222701e-08
0.01,1.2589254117941661e-08,7.481594594912183e-08
0.01,1.584893192461111e-08,1.8791915320893346e-07
0.01,1.9952623149688747e-08,4.7199174175227113e-07
0.01,2.5118864315095718e-08,1.1854311279329361e-06
0.01,3.1622776601683666e-08,2.977037521444728e-06
0.01,3.981071705534953e-08,7.475470301867106e-06
0.01,5.011872336272694e-08,1.876755047896467e-05
0.01,6.309573444801891e-08,4.7102279340879174e-05
0.01,7.943282347242757e-08,0.00011815801782098445
0.01,9.999999999999919e-08,0.0002961747469882182
0.01,1.2589254117941558e-07,0.0007414855540569319
0.01,1.584893192461098e-07,0.0018527836937173657
0.01,1.9952623149688583e-07,0.004615787708765044
0.01,2.5118864315095516e-07,0.01144592028126333
0.01,3.1622776601683405e-07,0.02818182890484388
0.01,3.9810717055349205e-07,0.06865143717614193
0.01,5.011872336272653e-07,0.16464366208877856
0.01,6.30957344480184e-07,0.38625281178345516
0.01,7.943282347242692e-07,0.8796420456598297
0.01,9.999999999999836e-07,1.9284313759983636
0.01,1.2589254117941456e-06,4.034569463580658
0.01,1.5848931924610849e-06,7.983788536140969
0.01,1.995262314968842e-06,14.79929745973007
0.01,2.5118864315095306e-06,25.401142975521676
0.01,3.162277660168315e-06,39.760778892785794
0.01,3.981071705534888e-06,55.67011680480557
0.01,5.011872336272612e-06,68.34256484377833
0.01,6.309573444801788e-06,73.3304447912369
0.01,7.943282347242627e-06,72.3749253691765
0.01,9.999999999999755e-06,72.52749504778694
0.01,1.2589254117941353e-05,76.67756903171936
0.01,1.584893192461072e-05,83.58598024604949
0.01,1.9952623149688258e-05,93.26365703122134
0.01,2.5118864315095104e-05,106.78985091741858
0.01,3.162277660168289e-05,124.5212026288554
0.01,3.981071705534855e-05,144.80249469928003
0.01,5.011872336272571e-05,163.44575870237395
0.01,6.309573444801737e-05,174.66719159519948
0.01,7.943282347242562e-05,173.5896396327835
0.01,9.999999999999673e-05,158.07446450741554
0.01,0.0001258925411794125,127.75730077543055
0.01,0.00015848931924610592,85.15370356957705
0.01,0.00019952623149688094,41.773319632919076
0.01,0.00025118864315094896,12.958349241204955
0.01,0.0003162277660168263,1.9714115033844741
0.01,0.0003981071705534823,0.09350075890992528
0.01,0.000501187233627253,0.0006741048248701284
0.01,0.0006309573444801685,2.4319806679025075e-07
0.01,0.0007943282347242497,7.561655880359744e-13
0.015,1e-08,2.0473701103186516e-08
0.015,1.2589254117941661e-08,5.142542264845475e-08
0.015,1.584893192461111e-08,1.291661063994374e-07
0.015,1.9952623149688747e-08,3.2441590136899857e-07
0.015,2.5118864315095718e-08,8.147578421771519e-07
0.015,3.1622776601683666e-08,2.0460297970567855e-06
0.015,3.981071705534953e-08,5.137208971520081e-06
0.015,5.011872336272694e-08,1.2895394739105463e-05
0.015,6.309573444801891e-08,3.235723091454343e-05
0.015,7.943282347242757e-08,8.114059086916767e-05
0.015,9.999999999999919e-08,0.00020327261325145044
0.015,1.2589254117941558e-07,0.000508450060759535
0.015,1.584893192461098e-07,0.0012687146501937942
0.015,1.9952623149688583e-07,0.0031538019065239426
0.015,2.5118864315095516e-07,0.0077939615161155525
0.015,3.1622776601683405e-07,0.019089387557432724
0.015,3.9810717055349205e-07,0.04613192487014993
0.015,5.011872336272653e-07,0.10933177759843525
0.015,6.30957344480184e-07,0.2521693728476006
0.015,7.943282347242692e-07,0.5611263274821288
0.015,9.999999999999836e-07,1.1942354600782392
0.015,1.2589254117941456e-06,2.4122740577513295
0.015,1.5848931924610849e-06,4.593005574011499
0.015,1.995262314968842e-06,8.184403116138476
0.015,2.5118864315095306e-06,13.519961523629625
0.015,3.162277660168315e-06,20.421494262049922
0.015,3.981071705534888e-06,27.693141353417108
0.015,5.011872336272612e-06,33.123983573166846
0.015,6.309573444801788e-06,34.99637028133769
0.015,7.943282347242627e-06,34.411566504506716
0.015,9.999999999999755e-06,34.46370895002122
0.015,1.2589254117941353e-05,36.485447076882764
0.015,1.584893192461072e-05,40.35907082021108
0.015,1.9952623149688258e-05,46.33803034847582
0.015,2.5118864315095104e-05,54.51484928245797
0.015,3.162277660168289e-05,64.03136231813981
0.015,3.981071705534855e-05,72.54967450597967
0.015,5.011872336272571e-05,76.65847511130873
0.015,6.309573444801737e-05,73.54905381860162
0.015,7.943282347242562e-05,62.46101305832841
0.015,9.999999999999673e-05,44.834481354009235
0.015,0.0001258925411794125,24.84931218522025
0.015,0.00015848931924610592,9.193984475209493
0.015,0.00019952623149688094,1.8080374855917003
0.015,0.00025118864315094896,0.1304403898213134
0.015,0.0003162277660168263,0.0019121655540114545
0.015,0.0003981071705534823,2.2762194110838877e-06
0.015,0.000501187233627253,5.2383091342106526e-11
0.015,0.0006309573444801685,2.4169457025142037e-18
0.015,0.0007943282347242497,6.084518302444706e-30
0.02,1e-08,1.4567295747832391e-08
0.02,1.2589254117941661e-08,3.6589530859085135e-08
0.02,1.584893192461111e-08,9.190133559611719e-08
0.02,1.9952623149688747e-08,2.3081622218037977e-07
0.02,2.5118864315095718e-08,5.796667498951118e-07
0.02,3.1622776601683666e-08,1.455589957617378e-06
0.02,3.981071705534953e-08,3.6544186665815066e-06
0.02,5.011872336272694e-08,9.172097329199031e-06
0.02,6.309573444801891e-08,2.3009917044093423e-05
0.02,7.943282347242757e-08,5.76818302126611e-05
0.02,9.999999999999919e-08,0.0001444288928708512
0.02,1.2589254117941558e-07,0.0003609671687144217
0.02,1.584893192461098e-07,0.0008995472568199147
0.02,1.9952623149688583e-07,0.002231614670732687
0.02,2.5118864315095516e-07,0.005497735081937405
0.02,3.1622776601683405e-07,0.013400820243436896
0.02,3.9810717055349205e-07,0.03215124593896787
0.02,5.011872336272653e-07,0.07539469661264854
0.02,6.30957344480184e-07,0.1713306957812474
0.02,7.943282347242692e-07,0.37385849222478623
0.02,9.999999999999836e-07,0.7770314792100912
0.02,1.2589254117941456e-06,1.5291336974574115
0.02,1.5848931924610849e-06,2.836601396399929
0.02,1.995262314968842e-06,4.934935819813137
0.02,2.5118864315095306e-06,7.984086001850625
0.02,3.162277660168315e-06,11.84432238064887
0.02,3.981071705534888e-06,15.792730405156181
0.02,5.011872336272612e-06,18.549995891429006
0.02,6.309573444801788e-06,19.211333411191394
0.02,7.943282347242627e-06,18.606241936583412
0.02,9.999999999999755e-06,18.693842026557952
0.02,1.2589254117941353e-05,20.32792184056198
0.02,1.584893192461072e-05,23.387170336974897
0.02,1.9952623149688258e-05,27.763743226108367
0.02,2.5118864315095104e-05,33.01432661128386
0.02,3.162277660168289e-05,37.86241339134471
0.02,3.981071705534855e-05,40.32832885887555
0.02,5.011872336272571e-05,38.6393417719137
0.02,6.309573444801737e-05,32.168116238090136
0.02,7.943282347242562e-05,21.96847250347309
0.02,9.999999999999673e-05,11.158931198662582
0.02,0.0001258925411794125,3.6134800739380557
0.02,0.00015848931924610592,0.5809832706147514
0.02,0.00019952623149688094,0.031092385303038404
0.02,0.00025118864315094896,0.0002985957401140769
0.02,0.0003162277660168263,1.9154472138543361e-07
0.02,0.0003981071705534823,1.6167393960167123e-12
0.02,0.000501187233627253,1.3153521791112774e-20
0.02,0.0006309573444801685,1.6569180029382215e-33
0.02,0.0007943282347242497,4.821079726232991e-54
0.025,1e-08,9.949032218381168e-09
0.025,1.2589254117941661e-08,2.4989429825111358e-08
0.025,1.584893192461111e-08,6.276500032250388e-08
0.025,1.9952623149688747e-08,1.5763622625520793e-07
0.025,2.5118864315095718e-08,3.958754458929532e-07
0.025,3.1622776601683666e-08,9.940406316031415e-07
0.025,3.981071705534953e-08,2.4955109870927846e-06
0.025,5.011872336272694e-08,6.2628498555703925e-06
0.025,6.309573444801891e-08,1.570936116126265e-05
0.025,7.943282347242757e-08,3.937203438674146e-05
0.025,9.999999999999919e-08,9.854929394891098e-05
0.025,1.2589254117941558e-07,0.0002461681796169077
0.025,1.584893192461098e-07,0.0006129417809884722
0.025,1.9952623149688583e-07,0.0015185852167498794
0.025,2.5118864315095516e-07,0.0037334925861527007
0.025,3.1622776601683405e-07,0.009072166821026717
0.025,3.9810717055349205e-07,0.021665459916089886
0.025,5.011872336272653e-07,0.05046942786737706
0.025,6.30957344480184e-07,0.11365826211927345
0.025,7.943282347242692e-07,0.24519657810699003
0.025,9.999999999999836e-07,0.5029352052708556
0.025,1.2589254117941456e-06,0.9759878620792244
0.025,1.5848931924610849e-06,1.7854330480432699
0.025,1.995262314968842e-06,3.0645782842613274
0.025,2.5118864315095306e-06,4.895922211066223
0.025,3.162277660168315e-06,7.186325741784802
0.025,3.981071705534888e-06,9.5194002140572
0.025,5.011872336272612e-06,11.182722144521968
0.025,6.309573444801788e-06,11.686167162825116
0.025,7.943282347242627e-06,11.519491233462464
0.025,9.999999999999755e-06,11.817739592131744
0.025,1.2589254117941353e-05,13.083579051198218
0.025,1.584893192461072e-05,15.224802038035307
0.025,1.9952623149688258e-05,18.08284389978022
0.025,2.5118864315095104e-05,21.193795592742813
0.025,3.162277660168289e-05,23.527423825622225
0.025,3.981071705534855e-05,23.68970945199559
0.025,5.011872336272571e-05,20.607839273333457
0.025,6.309573444801737e-05,14.512803751271493
0.025,7.943282347242562e-05,7.503820153257479
0.025,9.999999999999673e-05,2.436890905086031
0.025,0.0001258925411794125,0.3858809068683918
0.025,0.00015848931924610592,0.019918599995126452
0.025,0.00019952623149688094,0.00017915776559466955
0.025,0.00025118864315094896,1.0709879047366467e-07
0.025,0.0003162277660168263,9.460601397715022e-13
0.025,0.0003981071705534823,1.100409180339139e-20
0.025,0.000501187233627253,3.3002425041867915e-33
0.025,0.0006309573444801685,4.814526468436309e-53
0.025,0.0007943282347242497,1.6513501144108995e-84
0.03,1e-08,7.02775509359989e-09
0.03,1.2589254117941661e-08,1.765188242745337e-08
0.03,1.584893192461111e-08,4.4335383298496104e-08
0.03,1.9952623149688747e-08,1.1134896721310224e-07
0.03,2.5118864315095718e-08,2.7963037332526896e-07
0.03,3.1622776601683666e-08,7.021387844775507e-07
0.03,3.981071705534953e-08,1.7626549384123207e-06
0.03,5.011872336272694e-08,4.423462786976971e-06
0.03,6.309573444801891e-08,1.1094846484492927e-05
0.03,7.943282347242757e-08,2.7803979473987653e-05
0.03,9.999999999999919e-08,6.958307422962217e-05
0.03,1.2589254117941558e-07,0.0001737693383809596
0.03,1.584893192461098e-07,0.0004325030737142165
0.03,1.9952623149688583e-07,0.0010708801851768183
0.03,2.5118864315095516e-07,0.002630266295603832
0.03,3.1622776601683405e-07,0.006381950871553676
0.03,3.9810717055349205e-07,0.015206867902543953
0.03,5.011872336272653e-07,0.03530797886031864
0.03,6.30957344480184e-07,0.07914682721092688
0.03,7.943282347242692e-07,0.16969969534399487
0.03,9.999999999999836e-07,0.3454785424944385
0.03,1.2589254117941456e-06,0.6648253978913969
0.03,1.5848931924610849e-06,1.20565091698547
0.03,1.995262314968842e-06,2.0518750982885643
0.03,2.5118864315095306e-06,3.2529160693886157
0.03,3.162277660168315e-06,4.746293817419782
0.03,3.981071705534888e-06,6.269550464917869
0.03,5.011872336272612e-06,7.384322133426957
0.03,6.309573444801788e-06,7.802044041086498
0.03,7.943282347242627e-06,7.850888528357362
0.03,9.999999999999755e-06,8.266569330185211
0.03,1.2589254117941353e-05,9.37404576416405
0.03,1.584893192461072e-05,11.0437676865161
0.03,1.9952623149688258e-05,12.945899425890005
0.03,2.5118864315095104e-05,14.45200549279686
0.03,3.162277660168289e-05,14.7140543997637
0.03,3.981071705534855e-05,13.028651579769242
0.03,5.011872336272571e-05,9.402669727153397
0.03,6.309573444801737e-05,5.0302288010587395
0.03,7.943282347242562e-05,1.7380684110411748
0.03,9.999999999999673e-05,0.31500840433046307
0.03,0.0001258925411794125,0.021534392658569945
0.03,0.00015848931924610592,0.00032934346470190923
0.03,0.00019952623149688094,4.948387449559249e-07
0.03,0.00025118864315094896,1.8630172228124406e-11
0.03,0.0003162277660168263,1.8278000124884362e-18
0.03,0.0003981071705534823,1.327806378007658e-29
0.03,0.000501187233627253,2.7094159075062505e-47
0.03,0.0006309573444801685,2.2647628228842156e-75
0.03,0.0007943282347242497,6.371987257248365e-120
0.035,1e-08,5.268075728655849e-09
0.035,1.2589254117941661e-08,1.3231984235596661e-08
0.035,1.584893192461111e-08,3.323396290790265e-08
0.035,1.9952623149688747e-08,8.346689057800092e-08
0.035,2.5118864315095718e-08,2.0960741647702562e-07
0.035,3.1622776601683666e-08,5.263033957077708e-07
0.035,3.981071705534953e-08,1.321192514165765e-06
0.035,5.011872336272694e-08,3.3154185360422622e-06
0.035,6.309573444801891e-08,8.31497887482044e-06
0.035,7.943282347242757e-08,2.0834814493297288e-05
0.035,9.999999999999919e-08,5.2130981227192906e-05
0.035,1.2589254117941558e-07,0.0001301435753009036
0.035,1.584893192461098e-07,0.00032375316420668447
0.035,1.9952623149688583e-07,0.0008009640010120628
0.035,2.5118864315095516e-07,0.0019648147626759676
0.035,3.1622776601683405e-07,0.004758007793418949
0.035,3.9810717055349205e-07,0.011303626231078388
0.035,5.011872336272653e-07,0.026129464347198837
0.035,6.30957344480184e-07,0.058203603017398804
0.035,7.943282347242692e-07,0.12373943152608882
0.035,9.999999999999836e-07,0.2492676350225895
0.035,1.2589254117941456e-06,0.47398758176743006
0.035,1.5848931924610849e-06,0.8490341283237763
0.035,1.995262314968842e-06,1.4282788920826743
0.035,2.5118864315095306e-06,2.2427492529993884
0.035,3.162277660168315e-06,3.2528398899306565
0.035,3.981071705534888e-06,4.293212181864062
0.035,5.011872336272612e-06,5.089080967865623
0.035,6.309573444801788e-06,5.473771977860177
0.035,7.943282347242627e-06,5.699360724256419
0.035,9.999999999999755e-06,6.278002661049939
0.035,1.2589254117941353e-05,7.403180498369251
0.035,1.584893192461072e-05,8.906834419880232
0.035,1.9952623149688258e-05,10.436262506904278
0.035,2.5118864315095104e-05,11.382961492859925
0.035,3.162277660168289e-05,10.997420955048685
0.035,3.981071705534855e-05,8.879699681477938
0.035,5.011872336272571e-05,5.543399775936938
