Mass,Coupling,Number of Events
0.01,1e-08,3.480709867126204e-08
0.01,1.5848931924611143e-08,2.1960149275186395e-07
0.01,2.511886431509582e-08,1.3853310799288992e-06
0.01,3.9810717055349776e-08,8.736720508092832e-06
0.01,6.309573444801943e-08,5.505970364276576e-05
0.01,1.0000000000000021e-07,0.00034637435686526687
0.01,1.5848931924611173e-07,0.0021693896434337124
0.01,2.5118864315095876e-07,0.013441476114059256
0.01,3.9810717055349856e-07,0.08120946357959817
0.01,6.309573444801956e-07,0.46496775758998204
0.01,1.0000000000000042e-06,2.4169690473273198
0.01,1.5848931924611206e-06,10.942736155229278
0.01,2.5118864315095924e-06,42.30197117724523
0.01,3.981071705534994e-06,140.3385462147017
0.01,6.309573444801969e-06,406.50545201342703
0.01,1.0000000000000062e-05,1072.4403865165002
0.01,1.584893192461124e-05,2728.4480431633783
0.01,2.5118864315095974e-05,6873.781443328732
0.01,3.981071705535002e-05,17281.549731557952
0.01,6.309573444801982e-05,43423.53311914404
0.01,0.00010000000000000082,109086.77276876553
0.01,0.00015848931924611272,274020.62828106823
0.01,0.0002511886431509603,688310.2770962854
0.01,0.000398107170553501,1728957.2776087348
0.01,0.0006309573444801995,4342944.326286357
0.01,0.0010000000000000102,10908982.926000223
0.01,0.0015848931924611303,27402126.19338966
0.01,0.002511886431509608,68831028.97968882
0.01,0.0039810717055350185,172895727.76092318
0.01,0.0063095734448020075,434294432.62863743
0.01,0.010000000000000123,1090898292.6000268
0.01,0.015848931924611336,2740212619.338977
0.01,0.02511886431509613,6883102897.968909
0.01,0.03981071705535026,17289572776.092384
0.01,0.0630957344480202,43429443262.86392
0.01,0.10000000000000143,109089829260.00313
0.01,0.15848931924611367,274021261933.8988
0.01,0.2511886431509618,688310289796.8934
0.01,0.3981071705535034,1728957277609.2456
0.01,0.6309573444802034,4342944326286.4106
0.015,1e-08,2.2597281175282828e-08
0.015,1.5848931924611143e-08,1.425649343488913e-07
0.015,2.511886431509582e-08,8.9929783603874e-07
0.015,3.9810717055349776e-08,5.670606084861305e-06
0.015,6.309573444801943e-08,3.572251434329567e-05
0.015,1.0000000000000021e-07,0.00022450255343644897
0.015,1.5848931924611173e-07,0.0014026100745198962
0.015,2.5118864315095876e-07,0.008637890915952923
0.015,3.9810717055349856e-07,0.05144263389109706
0.015,6.309573444801956e-07,0.2854552843298482
0.015,1.0000000000000042e-06,1.400788575215371
0.015,1.5848931924611206e-06,5.843549435869699
0.015,2.5118864315095924e-06,20.65596003691004
0.015,3.981071705534994e-06,63.36593722751678
0.015,6.309573444801969e-06,174.83078864531566
0.015,1.0000000000000062e-05,452.58864617431715
0.015,1.584893192461124e-05,1145.158351922381
0.015,2.5118864315095974e-05,2882.9196708271966
0.015,3.981071705535002e-05,7247.669959786064
0.015,6.309573444801982e-05,18210.79753918621
0.015,0.00010000000000000082,45747.036881934386
0.015,0.00015848931924611272,114912.38491572796
0.015,0.0002511886431509603,288646.8956850596
0.015,0.000398107170553501,725048.2207745652
0.015,0.0006309573444801995,1821238.7879537947
0.015,0.0010000000000000102,4574745.000000094
0.015,0.0015848931924611303,11491239.893116537
0.015,0.002511886431509608,28864689.568741057
0.015,0.0039810717055350185,72504822.07745683
0.015,0.0063095734448020075,182123878.7953802
0.015,0.010000000000000123,457474500.0000113
0.015,0.015848931924611336,1149123989.3116584
0.015,0.02511886431509613,2886468956.8741174
0.015,0.03981071705535026,7250482207.745711
0.015,0.0630957344480202,18212387879.538097
0.015,0.10000000000000143,45747450000.00131
0.015,0.15848931924611367,114912398931.1663
0.015,0.2511886431509618,288646895687.41284
0.015,0.3981071705535034,725048220774.5741
0.015,0.6309573444802034,1821238787953.8171
0.02,1e-08,1.5682573857803774e-08
0.02,1.5848931924611143e-08,9.893823485980224e-08
0.02,2.511886431509582e-08,6.240661090213386e-07
0.02,3.9810717055349776e-08,3.934552178008983e-06
0.02,6.309573444801943e-08,2.4777321056511817e-05
0.02,1.0000000000000021e-07,0.00015557857334258046
0.02,1.5848931924611173e-07,0.0009698671227290511
0.02,2.5118864315095876e-07,0.0059409506602971455
0.02,3.9810717055349856e-07,0.03494027394947592
0.02,6.309573444801956e-07,0.18881061496984344
0.02,1.0000000000000042e-06,0.8854883624084828
0.02,1.5848931924611206e-06,3.4930349037738355
0.02,2.5118864315095924e-06,11.727072365729063
0.02,3.981071705534994e-06,34.47057119103572
0.02,6.309573444801969e-06,92.16096084997841
0.02,1.0000000000000062e-05,235.79263062747384
0.02,1.584893192461124e-05,595.6713720625826
0.02,2.5118864315095974e-05,1499.4130341066846
0.02,3.981071705535002e-05,3769.4087133480534
0.02,6.309573444801982e-05,9470.754313636582
0.02,0.00010000000000000082,23790.514797822678
0.02,0.00015848931924611272,59759.17220561255
0.02,0.0002511886431509603,150108.25406510255
0.02,0.000398107170553501,377054.8866437241
0.02,0.0006309573444801995,947119.0536947544
0.02,0.0010000000000000102,2379055.500000049
0.02,0.0015848931924611303,5975917.230258367
0.02,0.002511886431509608,15010825.406510318
0.02,0.0039810717055350185,37705488.66437258
0.02,0.0063095734448020075,94711905.36947581
0.02,0.010000000000000123,237905550.00000587
0.02,0.015848931924611336,597591723.0258391
0.02,0.02511886431509613,1501082540.6510377
0.02,0.03981071705535026,3770548866.437272
0.02,0.0630957344480202,9471190536.94762
0.02,0.10000000000000143,23790555000.000683
0.02,0.15848931924611367,59759172302.58415
0.02,0.2511886431509618,150108254065.10434
0.02,0.3981071705535034,377054886643.72876
0.02,0.6309573444802034,947119053694.7661
0.025,1e-08,1.0585964296838959e-08
0.025,1.5848931924611143e-08,6.678375302205354e-08
0.025,2.511886431509582e-08,4.2123179132134805e-07
0.025,3.9810717055349776e-08,2.655494433575009e-06
0.025,6.309573444801943e-08,1.671872068083058e-05
0.025,1.0000000000000021e-07,0.00010491684781439643
0.025,1.5848931924611173e-07,0.0006531013127012176
0.025,2.5118864315095876e-07,0.003986612683127978
0.025,3.9810717055349856e-07,0.02325828107043057
0.025,6.309573444801956e-07,0.12364123572029392
0.025,1.0000000000000042e-06,0.5648784132286148
0.025,1.5848931924611206e-06,2.1603786049098694
0.025,2.5118864315095924e-06,7.034383280443343
0.025,3.981071705534994e-06,20.197327473949027
0.025,6.309573444801969e-06,53.45667535311115
0.025,1.0000000000000062e-05,136.46252368378575
0.025,1.584893192461124e-05,344.65466826054615
0.025,2.5118864315095974e-05,867.5318973660474
