Mass,Coupling,Number of Events
0.01,1e-08,2.476445962381073e-08
0.01,1.2589254117941661e-08,6.220305750904383e-08
0.01,1.584893192461111e-08,1.5623725316277026e-07
0.01,1.9952623149688747e-08,3.9241137544064524e-07
0.01,2.5118864315095718e-08,9.855381413353796e-07
0.01,3.1622776601683666e-08,2.4749443902706547e-06
0.01,3.981071705534953e-08,6.2143304835592955e-06
0.01,5.011872336272694e-08,1.5599953728611515e-05
0.01,6.309573444801891e-08,3.914660432249896e-05
0.01,7.943282347242757e-08,9.817811980715134e-05
0.01,9.999999999999919e-08,0.000246002851552524
0.01,1.2589254117941558e-07,0.0006155204907754129
0.01,1.584893192461098e-07,0.001536616597097007
0.01,1.9952623149688583e-07,0.003822577557665638
0.01,2.5118864315095516e-07,0.009457304256802792
0.01,3.1622776601683405e-07,0.023201887737474666
0.01,3.9810717055349205e-07,0.05620278341021985
0.01,5.011872336272653e-07,0.13361282741500688
0.01,6.30957344480184e-07,0.3092470752252348
0.01,7.943282347242692e-07,0.689890976508044
0.01,9.999999999999836e-07,1.4660464790797476
0.01,1.2589254117941456e-06,2.927426993476303
0.01,1.5848931924610849e-06,5.4047132739478
0.01,1.995262314968842e-06,9.042925225912372
0.01,2.5118864315095306e-06,13.370812215917605
0.01,3.162277660168315e-06,16.988063177722168
0.01,3.981071705534888e-06,18.322977111009656
0.01,5.011872336272612e-06,17.833495660123674
0.01,6.309573444801788e-06,18.531072981075525
0.01,7.943282347242627e-06,22.21099288441079
0.01,9.999999999999755e-06,27.96651375623651
0.01,1.2589254117941353e-05,34.90563450264235
0.01,1.584893192461072e-05,42.85554912482875
0.01,1.9952623149688258e-05,51.96932615302193
0.01,2.5118864315095104e-05,62.19929791074434
0.01,3.162277660168289e-05,72.46597085882148
0.01,3.981071705534855e-05,80.44060453714009
0.01,5.011872336272571e-05,83.45276350933588
0.01,6.309573444801737e-05,79.7858751429156
0.01,7.943282347242562e-05,68.92150209351067
0.01,9.999999999999673e-05,51.13511649586329
0.01,0.0001258925411794125,29.63361691774411
0.01,0.00015848931924610592,11.786521597791936
0.01,0.00019952623149688094,2.659783041917349
0.01,0.00025118864315094896,0.2412323041335615
0.01,0.0003162277660168263,0.0049305048483570015
0.01,0.0003981071705534823,9.301627474799224e-06
0.01,0.000501187233627253,3.996452885688112e-10
0.01,0.0006309573444801685,4.2437631693421026e-17
0.01,0.0007943282347242497,3.310806722087848e-28
0.015,1e-08,1.835013287285385e-08
0.015,1.2589254117941661e-08,4.6091286520757415e-08
0.015,1.584893192461111e-08,1.1576746612760347e-07
0.015,1.9952623149688747e-08,2.9076045226305756e-07
0.015,2.5118864315095718e-08,7.302208227383033e-07
0.015,3.1622776601683666e-08,1.8336889596869801e-06
0.015,3.981071705534953e-08,4.6038589969317295e-06
0.015,5.011872336272694e-08,1.1555784048153545e-05
0.015,6.309573444801891e-08,2.8992694478373432e-05
0.015,7.943282347242757e-08,7.269090325935996e-05
0.015,9.999999999999919e-08,0.00018205450787034996
0.015,1.2589254117941558e-07,0.0004551786553841196
0.015,1.584893192461098e-07,0.0011350066265698614
0.015,1.9952623149688583e-07,0.0028183549037407067
0.015,2.5118864315095516e-07,0.006952995529853731
0.015,3.1622776601683405e-07,0.01698348253857023
0.015,3.9810717055349205e-07,0.04086791782538895
0.015,5.011872336272653e-07,0.09621113693196522
0.015,6.30957344480184e-07,0.21961321476514406
0.015,7.943282347242692e-07,0.4809192669365311
0.015,9.999999999999836e-07,0.9988454348900752
0.015,1.2589254117941456e-06,1.9446503625553915
0.015,1.5848931924610849e-06,3.5045011280909812
0.015,1.995262314968842e-06,5.757817415671202
0.015,2.5118864315095306e-06,8.458233939368194
0.015,3.162277660168315e-06,10.868760712176037
0.015,3.981071705534888e-06,12.100387509444388
0.015,5.011872336272612e-06,12.184319626900866
0.015,6.309573444801788e-06,12.484897550145426
0.015,7.943282347242627e-06,13.955192141084694
0.015,9.999999999999755e-06,16.263067929291772
0.015,1.2589254117941353e-05,19.20156175559681
0.015,1.584893192461072e-05,22.974201399610283
0.015,1.9952623149688258e-05,27.574074673990882
0.015,2.5118864315095104e-05,32.30531689683987
0.015,3.162277660168289e-05,35.71680318505135
0.015,3.981071705534855e-05,36.19334000193926
0.015,5.011872336272571e-05,32.83686899865596
0.015,6.309573444801737e-05,25.830765734891155
0.015,7.943282347242562e-05,16.493350618951816
0.015,9.999999999999673e-05,7.611171084250986
0.015,0.0001258925411794125,2.1190150976237505
0.015,0.00015848931924610592,0.26606652024118155
0.015,0.00019952623149688094,0.009400338114815422
0.015,0.00025118864315094896,4.464626523862706e-05
0.015,0.0003162277660168263,9.045758200676804e-09
0.015,0.0003981071705534823,1.2835013473795152e-14
0.015,0.000501187233627253,7.304201799261307e-24
0.015,0.0006309573444801685,1.7054242653323424e-38
0.015,0.0007943282347242497,1.01619222815619e-61
0.02,1e-08,1.3452023902976384e-08
0.02,1.2589254117941661e-08,3.378810845138659e-08
0.02,1.584893192461111e-08,8.48645356269262e-08
0.02,1.9952623149688747e-08,2.1314079863621934e-07
0.02,2.5118864315095718e-08,5.352689644449126e-07
0.02,3.1622776601683666e-08,1.3440712306564948e-06
0.02,3.981071705534953e-08,3.3743100948190775e-06
