Mass,Coupling,Number of Events
0.002,1e-08,4.2117687093777623e-13
0.002,1.5848931924611143e-08,2.6574463126011984e-12
0.002,2.511886431509582e-08,1.676735129712206e-11
0.002,3.9810717055349776e-08,1.0579481250169846e-10
0.002,6.309573444801943e-08,6.67519791048582e-10
0.002,1.0000000000000021e-07,4.211759624525554e-09
0.002,1.5848931924611173e-07,2.657431915073221e-08
0.002,2.5118864315095876e-07,1.6767123115309735e-07
0.002,3.9810717055349856e-07,1.0579119613264547e-06
0.002,6.309573444801956e-07,6.674624784250812e-06
0.002,1.0000000000000042e-06,4.210851394898855e-05
0.002,1.5848931924611206e-06,0.00026559929225985796
0.002,2.5118864315095924e-06,0.001674433470037997
0.002,3.981071705534994e-06,0.010543074234054955
0.002,6.309573444801969e-06,0.06617781159636318
0.002,1.0000000000000062e-05,0.41218780428953405
0.002,1.584893192461124e-05,2.5192865442296934
0.002,2.5118864315095974e-05,14.735841218469002
0.002,3.981071705535002e-05,78.776441299785
0.002,6.309573444801982e-05,371.06403615853776
0.002,0.00010000000000000082,1644.6024754440198
0.002,0.00015848931924611272,6663.520357279045
0.002,0.0002511886431509603,18719.2635259009
0.002,0.000398107170553501,29564.366624086248
0.002,0.0006309573444801995,21211.56192572793
0.002,0.0010000000000000102,4432.0262237018505
0.002,0.0015848931924611303,83.76621265461029
0.002,0.002511886431509608,0.004456278081776004
0.002,0.0039810717055350185,7.939541494553242e-14
0.002,0.0063095734448020075,3.398046057252518e-41
0.002,0.010000000000000123,2.5277779179068995e-110
0.002,0.015848931924611336,1.8513534467721523e-284
0.002,0.02511886431509613,0.0
0.002,0.03981071705535026,0.0
0.002,0.0630957344480202,0.0
0.002,0.10000000000000143,0.0
0.002,0.15848931924611367,0.0
0.002,0.2511886431509618,0.0
0.002,0.3981071705535034,0.0
0.002,0.6309573444802034,0.0
0.0024,1e-08,7.424201515461414e-13
0.0024,1.5848931924611143e-08,4.684354250592334e-12
0.0024,2.511886431509582e-08,2.955627366749011e-11
0.0024,3.9810717055349776e-08,1.864874236507617e-10
0.0024,6.309573444801943e-08,1.1766552116882017e-09
0.0024,1.0000000000000021e-07,7.4241784615636746e-09
0.0024,1.5848931924611173e-07,4.684317713179821e-08
0.0024,2.5118864315095876e-07,2.955569459093315e-07
0.0024,3.9810717055349856e-07,1.8647824619356598e-06
0.0024,6.309573444801956e-07,1.1765097693484997e-05
0.0024,1.0000000000000042e-06,7.421873775520437e-05
0.0024,1.5848931924611206e-06,0.000468066670405149
0.0024,2.5118864315095924e-06,0.0029497896475730616
0.0024,3.981071705534994e-06,0.01855648464935468
0.0024,6.309573444801969e-06,0.11621376201599784
0.0024,1.0000000000000062e-05,0.7198163751770773
0.0024,1.584893192461124e-05,4.34158209812695
0.0024,2.5118864315095974e-05,24.672513397788254
0.0024,3.981071705535002e-05,125.67348075215246
0.0024,6.309573444801982e-05,572.5224109347232
0.0024,0.00010000000000000082,2509.4104756049487
0.0024,0.00015848931924611272,9103.738829912143
0.0024,0.0002511886431509603,21270.849318780543
0.0024,0.000398107170553501,27371.049339988025
0.0024,0.0006309573444801995,15895.851152541481
0.0024,0.0010000000000000102,2640.884401053275
0.0024,0.0015848931924611303,24.927736729283023
0.0024,0.002511886431509608,0.00017762722939931717
0.0024,0.0039810717055350185,1.5288286120802264e-17
0.0024,0.0063095734448020075,1.6762865167183302e-50
0.0024,0.010000000000000123,1.5809154757636751e-133
0.0024,0.015848931924611336,0.0
0.0024,0.02511886431509613,0.0
0.0024,0.03981071705535026,0.0
0.0024,0.0630957344480202,0.0
0.0024,0.10000000000000143,0.0
0.0024,0.15848931924611367,0.0
0.0024,0.2511886431509618,0.0
0.0024,0.3981071705535034,0.0
0.0024,0.6309573444802034,0.0
0.0028,1e-08,9.525554183938873e-13
0.0028,1.5848931924611143e-08,6.010217996931235e-12
0.0028,2.511886431509582e-08,3.792190584520576e-11
0.0028,3.9810717055349776e-08,2.3927095463932403e-10
0.0028,6.309573444801943e-08,1.5096961485851401e-09
0.0028,1.0000000000000021e-07,9.5255147501689e-09
0.0028,1.5848931924611173e-07,6.01015548838209e-08
0.0028,2.5118864315095876e-07,3.7920915171216943e-07
0.0028,3.9810717055349856e-07,2.3925525410454373e-06
0.0028,6.309573444801956e-07,1.5094473358659668e-05
0.0028,1.0000000000000042e-06,9.52157229212081e-05
0.0028,1.5848931924611206e-06,0.0006003910923609706
0.0028,2.5118864315095924e-06,0.003782209693293362
0.0028,3.981071705534994e-06,0.023769509549053568
0.0028,6.309573444801969e-06,0.14849571529086045
0.0028,1.0000000000000062e-05,0.9142616545595138
0.0028,1.584893192461124e-05,5.4376651856550655
0.0028,2.5118864315095974e-05,30.021863112272545
0.0028,3.981071705535002e-05,146.77527989797673
0.0028,6.309573444801982e-05,656.8609604491239
0.0028,0.00010000000000000082,2796.78934320884
0.0028,0.00015848931924611272,9022.444863681612
0.0028,0.0002511886431509603,17522.66965744299
0.0028,0.000398107170553501,17417.056090388916
0.0028,0.0006309573444801995,6861.401211594603
0.0028,0.0010000000000000102,586.6094210234817
0.0028,0.0015848931924611303,1.2989708151181167
0.0028,0.002511886431509608,2.6219441646938646e-07
0.0028,0.0039810717055350185,3.62900749850979e-24
0.0028,0.0063095734448020075,1.1183099365869026e-66
0.0028,0.010000000000000123,5.918818097567086e-174
0.0028,0.015848931924611336,0.0
0.0028,0.02511886431509613,0.0
0.0028,0.03981071705535026,0.0
0.0028,0.0630957344480202,0.0
0.0028,0.10000000000000143,0.0
0.0028,0.15848931924611367,0.0
0.0028,0.2511886431509618,0.0
0.0028,0.3981071705535034,0.0
0.0028,0.6309573444802034,0.0
0.0033,1e-08,1.3952751744593376e-12
0.0033,1.5848931924611143e-08,8.803590381330535e-12
0.0033,2.511886431509582e-08,5.5546887280960694e-11
0.0033,3.9810717055349776e-08,3.504769618214463e-10
0.0033,6.309573444801943e-08,2.211356912451856e-09
0.0033,1.0000000000000021e-07,1.3952667836333244e-08
0.0033,1.5848931924611173e-07,8.803457393195124e-08
0.0033,2.5118864315095876e-07,5.554477959261498e-07
0.0033,3.9810717055349856e-07,3.5044355908942385e-06
0.0033,6.309573444801956e-07,2.210827588729337e-05
0.0033,1.0000000000000042e-06,0.0001394428156328616
0.0033,1.5848931924611206e-06,0.0008790177751215818
0.0033,2.5118864315095924e-06,0.005533477637350557
0.0033,3.981071705534994e-06,0.03471336353396708
0.0033,6.309573444801969e-06,0.21590910066003577
0.0033,1.0000000000000062e-05,1.3152048303484636
0.0033,1.584893192461124e-05,7.6356101288948635
0.0033,2.5118864315095974e-05,40.28186848681084
0.0033,3.981071705535002e-05,187.83479820144757
0.0033,6.309573444801982e-05,834.2931572819195
0.0033,0.00010000000000000082,3283.9896189860533
0.0033,0.00015848931924611272,8814.498043933647
0.0033,0.0002511886431509603,13779.432895922402
0.0033,0.000398107170553501,10963.602269412704
0.0033,0.0006309573444801995,3902.3933545526993
0.0033,0.0010000000000000102,298.72987108546516
0.0033,0.0015848931924611303,0.35930386862489844
0.0033,0.002511886431509608,1.06704472459072e-08
0.0033,0.0039810717055350185,1.0754265381164758e-27
0.0033,0.0063095734448020075,1.5490878622537726e-75
0.0033,0.010000000000000123,4.374565289870911e-196
0.0033,0.015848931924611336,0.0
0.0033,0.02511886431509613,0.0
0.0033,0.03981071705535026,0.0
0.0033,0.0630957344480202,0.0
0.0033,0.10000000000000143,0.0
0.0033,0.15848931924611367,0.0
0.0033,0.2511886431509618,0.0
0.0033,0.3981071705535034,0.0
