Mass,Coupling,Number of Events
0.002,1e-08,2.105884394070655e-13
0.002,1.5848931924611143e-08,1.3287232187165027e-12
0.002,2.511886431509582e-08,8.383676637786341e-12
0.002,3.9810717055349776e-08,5.289742192901029e-11
0.002,6.309573444801943e-08,3.3376014400625656e-10
0.002,1.0000000000000021e-07,2.105883750430901e-09
0.002,1.5848931924611173e-07,1.3287221990900345e-08
0.002,2.5118864315095876e-07,8.38366047871735e-08
0.002,3.9810717055349856e-07,5.289716582396388e-07
0.002,6.309573444801956e-07,3.33756085081711e-06
0.002,1.0000000000000042e-06,2.105819421615491e-05
0.002,1.5848931924611206e-06,0.00013286202478985648
0.002,2.5118864315095924e-06,0.000838204478538851
0.002,3.981071705534994e-06,0.005287156375590129
0.002,6.309573444801969e-06,0.03333505164327865
0.002,1.0000000000000062e-05,0.2099399415506866
0.002,1.584893192461124e-05,1.3184762675794854
0.002,2.5118864315095974e-05,8.222499137795026
0.002,3.981071705535002e-05,50.39072114630503
0.002,6.309573444801982e-05,295.83824579182806
0.002,0.00010000000000000082,1568.2612524543706
0.002,0.00015848931924611272,6646.556583483314
0.002,0.0002511886431509603,18719.08578894287
0.002,0.000398107170553501,29564.36662324957
0.002,0.0006309573444801995,21211.56192572793
0.002,0.0010000000000000102,4432.0262237018505
0.002,0.0015848931924611303,83.76621265461029
0.002,0.002511886431509608,0.004456278081776004
0.002,0.0039810717055350185,7.939541494553242e-14
0.002,0.0063095734448020075,3.398046057252518e-41
0.002,0.010000000000000123,2.5277779179068995e-110
0.002,0.015848931924611336,1.8513534467721523e-284
0.002,0.02511886431509613,0.0
0.002,0.03981071705535026,0.0
0.002,0.0630957344480202,0.0
0.002,0.10000000000000143,0.0
0.002,0.15848931924611367,0.0
0.002,0.2511886431509618,0.0
0.002,0.3981071705535034,0.0
0.002,0.6309573444802034,0.0
0.0024,1e-08,3.712100857673655e-13
0.0024,1.5848931924611143e-08,2.3421772836950553e-12
0.0024,2.511886431509582e-08,1.477813934419795e-11
0.0024,3.9810717055349776e-08,9.324375161336478e-11
0.0024,6.309573444801943e-08,5.883282364406291e-10
0.0024,1.0000000000000021e-07,3.7120992250425628e-09
